2022-09-26/14:37:30		 NPAac_13012020_090817.csv: File Transformed successfully!!
2022-09-29/18:37:39		 LoanID_28011969_120219.csv: File Transformed successfully!!
2022-09-29/18:37:39		 LoanID_28011970_120220.csv: File Transformed successfully!!
2022-09-29/18:37:39		 LoanID_28011971_120221.csv: File Transformed successfully!!
2022-09-29/18:37:40		 LoanID_28011972_120222.csv: File Transformed successfully!!
2022-09-29/18:37:40		 LoanID_28011973_120223.csv: File Transformed successfully!!
2022-09-29/18:37:40		 LoanID_28011974_120224.csv: File Transformed successfully!!
2022-09-29/18:37:40		 LoanID_28011975_120225.csv: File Transformed successfully!!
2022-09-29/18:37:40		 LoanID_28011976_120226.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011977_120227.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011978_120228.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011979_120229.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011980_120230.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011981_120231.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011982_120232.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011983_120233.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011984_120234.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011985_120235.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011986_120236.csv: File Transformed successfully!!
2022-09-29/18:37:41		 LoanID_28011987_120237.csv: File Transformed successfully!!
2022-09-29/18:37:42		 LoanID_28011988_120238.csv: File Transformed successfully!!
2022-09-29/18:37:42		 LoanID_28011989_120239.csv: File Transformed successfully!!
2022-09-29/18:37:42		 LoanID_28011990_120240.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011960_120210.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011961_120211.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011962_120212.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011963_120213.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011964_120214.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011965_120215.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011966_120216.csv: File Transformed successfully!!
2022-09-30/19:01:42		 LoanID_28011967_120217.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011968_120218.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011969_120219.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011970_120220.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011971_120221.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011972_120222.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011973_120223.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011974_120224.csv: File Transformed successfully!!
2022-09-30/19:01:43		 LoanID_28011975_120225.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011976_120226.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011977_120227.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011978_120228.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011979_120229.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011980_120230.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011981_120231.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011982_120232.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011983_120233.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011984_120234.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011985_120235.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011986_120236.csv: File Transformed successfully!!
2022-09-30/19:01:44		 LoanID_28011987_120237.csv: File Transformed successfully!!
2022-09-30/19:01:45		 LoanID_28011988_120238.csv: File Transformed successfully!!
2022-09-30/19:01:45		 LoanID_28011989_120239.csv: File Transformed successfully!!
2022-09-30/19:01:45		 LoanID_28011990_120240.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011960_120210.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011961_120211.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011962_120212.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011963_120213.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011964_120214.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011965_120215.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011966_120216.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011967_120217.csv: File Transformed successfully!!
2022-10-06/19:20:41		 LoanID_28011968_120218.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011969_120219.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011970_120220.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011971_120221.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011972_120222.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011973_120223.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011974_120224.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011975_120225.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011976_120226.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011977_120227.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011978_120228.csv: File Transformed successfully!!
2022-10-06/19:20:42		 LoanID_28011979_120229.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011980_120230.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011981_120231.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011982_120232.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011983_120233.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011984_120234.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011985_120235.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011986_120236.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011987_120237.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011988_120238.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011989_120239.csv: File Transformed successfully!!
2022-10-06/19:20:43		 LoanID_28011990_120240.csv: File Transformed successfully!!
